term1,term2,hu_ju,wup,lin,res,lch,cosine,popularity,hatred,r,overlap
cemetery,woodland,1.18,0.729059829,0.63198306,5.101738502,2.413087598,0.407923964,0.150124571,0.248442907,39,0.083333333
food,rooster,1.09,0.676224283,0.584605067,5.021476385,2.101634256,0.488251646,0.121661072,0.247273493,40,0.181818182
forest,graveyard,1,0.685606061,0.59097287,4.67866666,2.098251473,0.34739383,0.254734966,0.254734966,41,0.071428571
lad,wizard,0.99,0.852287582,0.757615444,6.375564515,2.538973871,0.431276923,0.200019536,0.200019536,42,0.095238095
mound,shore,0.97,0.9,0.907691351,9.943811336,2.538973871,0.496939163,0.133679274,0.185767464,43,0.125
automobile,cushion,0.97,0.627160221,0.5505695,4.445468502,1.793563621,0.215469478,0.164394915,0.208151867,44,0
boy,sage,0.96,0.875,0.895611842,2.00E+299,3.001975394,0.524795894,0.247602103,0.155955618,45,0.116883117
monk,oracle,0.91,0.757088538,0.642160202,5.5469249,2.301731035,0.421969909,0.28099244,0.301171772,46,0.083333333
shore,woodland,0.9,0.69512516,0.502823025,4.544067316,2.049868157,0.364992002,0.317577065,0.317577065,47,0.1
grin,lad,0.88,0.919047619,0.903427845,7.460418739,2.905177967,0.450589451,0.239684382,0.242821719,48,0.071428571
coast,forest,0.85,0.65225211,0.547204432,4.329903582,1.945070181,0.293399229,0.189538264,0.23109487,49,0.043478261
asylum,cemetery,0.79,0.520833333,0.339495732,2.608582244,1.633919567,0.549992976,0.202711745,0.286847464,50,0.05
monk,slave,0.57,0.719421697,0.641214083,5.620490966,2.273838091,0.388512507,0.224864003,0.224864003,51,0.142857143
cushion,jewel,0.45,0.777843137,0.666860818,6.017750015,2.620066893,0.431366574,0.273860358,0.308385763,52,0.142857143
boy,rooster,0.44,0.873319328,0.818121622,6.63568006,3.083068415,0.794936711,0.193325798,0.488294278,53,0.5
glass,magician,0.44,0.719141438,0.686766092,5.494442997,2.198746236,0.387938684,0.256490653,0.208666012,54,0.176470588
graveyard,madhouse,0.42,0.698673059,0.517067799,4.138895936,1.952896538,0.261828751,0.239777956,0.239777956,55,0
asylum,monk,0.39,0.814479638,0.48100422,5.334845111,2.395132835,0.388039003,0.303804587,0.202183032,56,0.05
asylum,fruit,0.19,0.755656109,0.488721855,4.789686035,2.251291799,0.484132866,0.178212803,0.178212803,57,0.050505051
grin,implement,0.18,0.745512821,0.571079219,5.45990166,2.142518312,0.32918415,0.109986752,0.109986752,58,0.076923077
mound,stove,0.14,0.75,0.549134714,4.735377989,2.538973871,0.45398931,0.280292164,0.160831477,59,0.2
automobile,wizard,0.11,0.675505051,0.632734394,5.267738909,2.128638399,0.299749779,0.1218733,0.1218733,60,0
autograph,shore,0.06,0.632358926,0.494545469,4.727602314,1.962959319,0.268676944,0.148474427,0.179353954,61,0.05
fruit,furnace,0.05,0.875,0.65063184,4.137587491,3.088280015,0.339332613,0.115359946,0.208158733,62,0.01010101
noon,string,0.04,0.661904762,0.488247469,4.188679263,2.137649603,0.414318118,0.210032136,0.314299118,63,0.166666667
rooster,voyage,0.04,0.588235294,0.435504157,4.402249455,1.573956763,0.432651736,0.234117744,0.333666189,64,0
chord,smile,0.02,0.872251401,0.736438266,7.205488596,2.496499112,0.365969164,0.23658101,0.23658101,65,0.1
